line,tail_family,group_family,rank,n,total_E,coverage_mean,coverage_median,coverage_p10,coverage_p25,coverage_p75,coverage_p90,coverage_min,coverage_max,tail_mean,tail_median,tail_p90,weighted_coverage,weighted_tail,max_weighted_tail,energy_coverage_mean,energy_coverage_median,energy_coverage_p10,energy_coverage_p90,energy_coverage_min,energy_coverage_max,energy_weighted_coverage,energy_weighted_tail,coverage_gap_e_minus_c_mean,coverage_gap_e_minus_c_weighted
55,w2,mlp_out,96,17,1.9547588259182629,0.08481011057601255,0.059695109724998474,0.056447561085224154,0.05763793736696243,0.06356216967105865,0.07299890816211702,0.056034933775663376,0.46049177646636963,0.9151898894239875,0.9403048902750015,0.9435524389147759,0.06645118656174412,0.9335488134382559,0.12783959824010444,0.056446040816166825,0.05436539277434349,0.05383247435092926,0.059121761471033096,0.05369623005390167,0.07732048630714417,0.05539413620400513,0.9446058637959949,-0.028364069759845727,-0.01105705035773899
55,w2,mlp_out,128,17,1.9547588259182629,0.10201433695414487,0.076781265437603,0.07338294088840484,0.07451191544532776,0.08070221543312073,0.09061708003282548,0.07303762435913086,0.47860977053642273,0.8979856630458551,0.923218734562397,0.9266170591115951,0.08357042851705941,0.9164295714829407,0.12555340069875728,0.0734482525902636,0.07129453122615814,0.07053295224905014,0.07630144357681275,0.07049628347158432,0.0964723452925682,0.07228455431812666,0.9277154456818734,-0.028566084363881278,-0.011285874198932747
55,w3,mlp_in,16,24,3.367255720696941,0.01879503026915093,0.009546010289341211,0.008797322120517492,0.009192979894578457,0.009843509644269943,0.015019502583891153,0.008688291534781456,0.17156273126602173,0.981204969730849,0.9904539897106588,0.9912026778794825,0.014862467260821334,0.9851375327391789,0.16527389117736127,0.019853932045710582,0.009307547472417355,0.009231752995401622,0.015180138032883404,0.009191910736262798,0.19834469258785248,0.015472358752778156,0.9845276412472218,0.001058901776559651,0.0006098914919568221
55,w3,mlp_in,32,24,3.367255720696941,0.028140596269319456,0.01871757861226797,0.017941842600703237,0.01836396101862192,0.019170597195625305,0.026365927234292028,0.017648659646511078,0.18156594038009644,0.9718594037306806,0.981282421387732,0.9820581573992968,0.024136337163275724,0.9758636628367243,0.16371488590411054,0.029032375585908692,0.018405855633318424,0.018261990509927273,0.02561298869550228,0.018192531540989876,0.20753440260887146,0.0246093237723306,0.9753906762276693,0.0008917793165892363,0.0004729866090548776
55,w3,mlp_in,48,24,3.367255720696941,0.037158830324187875,0.02766857948154211,0.027058105729520325,0.027245139237493277,0.028419582173228264,0.036239194497466085,0.026391614228487015,0.18944565951824188,0.9628411696758121,0.9723314205184579,0.9729418942704796,0.03314127991303534,0.9668587200869645,0.1622272270634732,0.03800805037220319,0.027361946180462837,0.027152600511908532,0.03563506081700325,0.027040129527449608,0.2157362550497055,0.03356687805633565,0.9664331219436643,0.0008492200480153186,0.0004255981433003153
55,w3,mlp_in,64,24,3.367255720696941,0.0463165077380836,0.0367443785071373,0.0359749149531126,0.03642596676945686,0.03726301062852144,0.04663888029754162,0.03516214340925217,0.1983405202627182,0.9536834922619164,0.9632556214928627,0.9640250850468873,0.042239940061505006,0.9577600599384948,0.16072878352104605,0.046838910318911076,0.03618662990629673,0.035923059284687045,0.04541061259806156,0.03576880693435669,0.2236189991235733,0.04238692359243448,0.9576130764075654,0.0005224025808274746,0.0001469835309294773
55,w3,mlp_in,96,24,3.367255720696941,0.06401930004358292,0.054797783493995667,0.05311917252838611,0.05345322657376528,0.05550467036664486,0.06704473495483398,0.052537329494953156,0.21454650163650513,0.9359806999564171,0.9452022165060043,0.9468808274716138,0.0598786851116512,0.9401213148883488,0.1577020819371028,0.06413943429167072,0.05349458567798138,0.05313523709774018,0.06438503675162792,0.05289875343441963,0.23882505297660828,0.059678252148577075,0.9403217478514226,0.00012013424808780815,-0.00020043296307412778
55,w3,mlp_in,128,24,3.367255720696941,0.08099452685564756,0.07171693444252014,0.06975051164627075,0.07052207179367542,0.07268695160746574,0.08431234955787659,0.06917279213666916,0.2299427092075348,0.9190054731443524,0.9282830655574799,0.9302494883537293,0.07687476596057995,0.9231252340394202,0.15489007421113032,0.08102258418997128,0.07041313871741295,0.06995351687073707,0.08274973407387733,0.06965135782957077,0.25347900390625,0.07656188650156048,0.9234381134984395,2.8057334323719485e-05,-0.00031287945901946335
55,wqkv,attn_in,16,32,1.7197949214238923,0.0628238070057705,0.03858830966055393,0.022451899759471417,0.02459164522588253,0.05846884660422802,0.07345762103796008,0.019783077761530876,0.5904056429862976,0.9371761929942295,0.9614116903394461,0.9775481002405285,0.03724199444753812,0.962758005552462,0.0818851622828339,0.028074278467101976,0.01904361043125391,0.014884726051241158,0.02525614891201258,0.01417344156652689,0.2729471027851105,0.01905295990158836,0.9809470400984116,-0.03474952853866853,-0.018189034545949757
55,wqkv,attn_in,32,32,1.7197949214238923,0.08820614055730402,0.061853207647800446,0.04108386784791947,0.04258520435541868,0.08231910318136215,0.09997290223836901,0.034867044538259506,0.6928519606590271,0.911793859442696,0.9381467923521996,0.9589161321520806,0.05801757808727091,0.941982421912729,0.0802598760852888,0.047137161483988166,0.03550498187541962,0.028717404417693614,0.044972105696797375,0.027543695643544197,0.34960120916366577,0.035611733127572875,0.9643882668724268,-0.04106897907331586,-0.022405844959698037
