line,name,tail_family,group_family,layer_index,score_E,rho,cum_c_len,coverage_c_r16,coverage_energy_r16,tail_c_r16,weighted_tail_r16,coverage_c_r32,coverage_energy_r32,tail_c_r32,weighted_tail_r32,coverage_c_r48,coverage_energy_r48,tail_c_r48,weighted_tail_r48,coverage_c_r64,coverage_energy_r64,tail_c_r64,weighted_tail_r64,coverage_c_r96,coverage_energy_r96,tail_c_r96,weighted_tail_r96,coverage_c_r128,coverage_energy_r128,tail_c_r128,weighted_tail_r128,deferred
55,language_model.model.layers.10.feed_forward.w3,w3,mlp_in,10,0.15535475933438567,0.1251033354304772,4095,0.009290322661399841,0.009238709695637226,0.9907096773386002,0.1539114634931851,0.018292175605893135,0.01828351989388466,0.9817078243941069,0.15251298279542982,0.026391614228487015,0.027183260768651962,0.973608385771513,0.1512546964574731,0.035892002284526825,0.03595497086644173,0.9641079977154732,0.14977876595744377,0.053103286772966385,0.05317443236708641,0.9468967132270336,0.1471049109979066,0.06917279213666916,0.06999783217906952,0.9308272078633308,0.14460843685950595,
55,language_model.model.layers.11.attention.wqkv,wqkv,attn_in,11,0.054198366638059395,0.17087150544674237,4095,0.05842174217104912,0.021932292729616165,0.9415782578289509,0.0510320036362387,0.08135268837213516,0.04044998437166214,0.9186473116278648,0.049789183806674624,0.10246601700782776,0.05785490944981575,0.8975339829921722,0.048644875880327516,0.12081695348024368,0.07435417175292969,0.8791830465197563,0.04765028509724378,0.15654544532299042,0.10528606921434402,0.8434545546770096,0.04571385919692568,0.1859900802373886,0.1341909021139145,0.8140099197626114,0.04411800807831132,
55,language_model.model.layers.11.feed_forward.w1,w1,mlp_in,11,0.07754489737480891,0.1251033354304772,4095,0.01233673095703125,0.010936003178358078,0.9876632690429688,0.07658824683880529,0.02483517676591873,0.020623184740543365,0.9751648232340813,0.0756190561412105,0.03498254343867302,0.03002668172121048,0.965017456561327,0.07483217963394721,0.04613767936825752,0.039240624755620956,0.9538623206317425,0.07396715576308555,0.06578323245048523,0.057205405086278915,0.9342167675495148,0.07244374336545283,0.08440432697534561,0.07463982701301575,0.9155956730246544,0.07099977250151591,
55,language_model.model.layers.11.feed_forward.w3,w3,mlp_in,11,0.14843292997676644,0.1251033354304772,4095,0.008887332864105701,0.009233676828444004,0.9911126671358943,0.1471137571200684,0.017648659646511078,0.01825786381959915,0.9823513403534889,0.14581328771527208,0.02674339897930622,0.02714751660823822,0.9732566010206938,0.14446332890873034,0.03516214340925217,0.03591484948992729,0.9648378565907478,0.1432137100062679,0.052537329494953156,0.05311966687440872,0.9474626705050468,0.14063466022667576,0.06970962136983871,0.06993452459573746,0.9302903786301613,0.13808572662927027,
55,language_model.model.layers.12.attention.wqkv,wqkv,attn_in,12,0.05480592460559716,0.17087150544674237,4095,0.035248368978500366,0.02398693934082985,0.9647516310214996,0.0528741051528912,0.06771842390298843,0.04399638995528221,0.9322815760970116,0.05109455377076011,0.09070499986410141,0.06174631044268608,0.9092950001358986,0.04983475322169452,0.11082985252141953,0.07815801352262497,0.8891701474785805,0.04873179206425879,0.1467575877904892,0.10855259746313095,0.8532424122095108,0.0467627393138523,0.17928412556648254,0.13681960105895996,0.8207158744335175,0.044980092336820106,
55,language_model.model.layers.12.feed_forward.w1,w1,mlp_in,12,0.0730605582334776,0.1251033354304772,4095,0.0175810344517231,0.010386734269559383,0.9824189655482769,0.07177607804211271,0.028225455433130264,0.020036784932017326,0.9717745445668697,0.07099839070313896,0.03805874288082123,0.0294533371925354,0.9619412571191788,0.0702799652329404,0.04836432263255119,0.038682322949171066,0.9516356773674488,0.0695270338233594,0.06702566891908646,0.05667857080698013,0.9329743310809135,0.0681636254462769,0.08541889488697052,0.07415523380041122,0.9145811051130295,0.06681980608934879,
55,language_model.model.layers.12.feed_forward.w3,w3,mlp_in,12,0.14783198540090237,0.1251033354304772,4095,0.009230213239789009,0.009210593067109585,0.990769786760211,0.14646746465199065,0.018351256847381592,0.018231524154543877,0.9816487431526184,0.14511908266655205,0.02710811235010624,0.027109289541840553,0.9728918876498938,0.14382453933171543,0.0359305813908577,0.03585231304168701,0.9640694186091423,0.14252029621728315,0.05311223119497299,0.053018923848867416,0.946887768805027,0.13998029881427776,0.0697064995765686,0.06979597359895706,0.9302935004234314,0.13752713517315107,
55,language_model.model.layers.13.attention.wqkv,wqkv,attn_in,13,0.045716324919830485,0.17087150544674237,4095,0.04708419367671013,0.017392108216881752,0.9529158063232899,0.043563808623117775,0.06703931093215942,0.03294176235795021,0.9329606890678406,0.04265153399885434,0.0865388736128807,0.04781821742653847,0.9134611263871193,0.04176008565554789,0.10221957415342331,0.0621490553021431,0.8977804258465767,0.04104322165466588,0.13349737226963043,0.08960171788930893,0.8665026277303696,0.03961331567320849,0.16048288345336914,0.11567206680774689,0.8395171165466309,0.03837963727580498,
55,language_model.model.layers.13.feed_forward.w1,w1,mlp_in,13,0.07538346967486034,0.1251033354304772,4095,0.01582198403775692,0.010846318677067757,0.9841780159622431,0.07419075362095397,0.027536669746041298,0.02044425532221794,0.9724633302539587,0.07330765996611299,0.038567233830690384,0.02980431728065014,0.9614327661693096,0.07247613777294125,0.048263777047395706,0.038982030004262924,0.9517362229526043,0.07174517870141377,0.0671604797244072,0.05688063055276871,0.9328395202755928,0.07032067968820642,0.08502034097909927,0.07427745312452316,0.9149796590209007,0.06897434137891613,
55,language_model.model.layers.13.feed_forward.w3,w3,mlp_in,13,0.14967584388412114,0.1251033354304772,4095,0.009618752636015415,0.009240962564945221,0.9903812473639846,0.14823614896621293,0.019210735335946083,0.0182871762663126,0.9807892646640539,0.1468004608610789,0.028059756383299828,0.027192724868655205,0.9719402436167002,0.14547597616826788,0.03660496696829796,0.03597462922334671,0.963395033031702,0.14419696456279077,0.05333612859249115,0.05320926010608673,0.9466638714075089,0.14169271382752802,0.07092709839344025,0.07004848122596741,0.9290729016065598,0.13905977057783087,
55,language_model.model.layers.14.attention.wqkv,wqkv,attn_in,14,0.05107723271231741,0.17087150544674237,4095,0.051563773304224014,0.01903313584625721,0.948436226695776,0.04844349786373238,0.0734967440366745,0.03569059818983078,0.9265032559633255,0.047323222413558554,0.09134763479232788,0.051563236862421036,0.9086523652076721,0.046411448312309894,0.10907549411058426,0.06682388484477997,0.8909245058894157,0.04550595831642009,0.14094355702400208,0.09584441781044006,0.8590564429759979,0.043878225850900676,0.17050500214099884,0.12327788025140762,0.8294949978590012,0.04236830903934743,
55,language_model.model.layers.14.feed_forward.w1,w1,mlp_in,14,0.06750813168952152,0.1251033354304772,4095,0.020902980118989944,0.012303436174988747,0.9790970198810101,0.0660970105549453,0.03439425677061081,0.022634567692875862,0.9656057432293892,0.0651862396740879,0.04560898616909981,0.03240346908569336,0.9543910138309002,0.06442915424499236,0.05660223960876465,0.04188527166843414,0.9433977603912354,0.06368702024409119,0.0765729546546936,0.06024283915758133,0.9234270453453064,0.062338834582836705,0.09565149247646332,0.07796584814786911,0.9043485075235367,0.06105087813912116,
55,language_model.model.layers.14.feed_forward.w3,w3,mlp_in,14,0.1451350107210478,0.1251033354304772,4095,0.009260962717235088,0.009385032579302788,0.9907390372827649,0.14379092079779468,0.018368195742368698,0.018490880727767944,0.9816318042576313,0.14246914243505282,0.027036674320697784,0.02744768001139164,0.9729633256793022,0.14121104270365187,0.03607835993170738,0.036268267780542374,0.9639216400682926,0.13989877756556163,0.05401540547609329,0.05357871204614639,0.9459845945239067,0.13729548426817326,0.07138969004154205,0.07049284130334854,0.928610309958458,0.13477386729149632,
55,language_model.model.layers.15.attention.wqkv,wqkv,attn_in,15,0.06331012639697164,0.17087150544674237,4095,0.039660949259996414,0.01905408501625061,0.9603390507400036,0.06079918668629739,0.06036815047264099,0.03531936556100845,0.939631849527359,0.05948821116019734,0.08065913617610931,0.05080548673868179,0.9193408638238907,0.058203586290591615,0.09849566221237183,0.06571606546640396,0.9015043377876282,0.05707435357275296,0.13171201944351196,0.09407252073287964,0.868287980556488,0.05497142179800252,0.16019275784492493,0.12096662819385529,0.8398072421550751,0.05316830264992998,
55,language_model.model.layers.15.feed_forward.w1,w1,mlp_in,15,0.0631054721954986,0.1251033354304772,4095,0.027433745563030243,0.012005663476884365,0.9725662544369698,0.06137425272765241,0.03915756195783615,0.02255081571638584,0.9608424380421638,0.06063441575812486,0.05054226890206337,0.032590314745903015,0.9494577310979366,0.05991597845060202,0.05994647741317749,0.04228627681732178,0.9400535225868225,0.05932252143188324,0.07943986356258392,0.060970600694417953,0.9205601364374161,0.058092382094235756,0.098846934735775,0.07892890274524689,0.901153065264225,0.05686768970391989,
